country_code,country,region
ERI,Eritrea,Sub-Saharan Africa
ESP,Spain,Southern Europe
EST,Estonia,Northern Europe
ETH,Ethiopia,Sub-Saharan Africa
FIN,Finland,Northern Europe
FJI,Fiji,Melanesia
FRA,France,Western Europe
FSM,Micronesia (Federated States of),Micronesia
GAB,Gabon,Sub-Saharan Africa
GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe
GEO,Georgia,Western Asia
GHA,Ghana,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
GLP,Guadeloupe,Latin America and the Caribbean
GMB,Gambia,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa
GRC,Greece,Southern Europe
GRD,Grenada,Latin America and the Caribbean
GTM,Guatemala,Latin America and the Caribbean
GUF,French Guiana,Latin America and the Caribbean
GUM,Guam,Micronesia
GUY,Guyana,Latin America and the Caribbean
HKG,"China, Hong Kong Special Administrative Region",Eastern Asia
HND,Honduras,Latin America and the Caribbean
HRV,Croatia,Southern Europe
HTI,Haiti,Latin America and the Caribbean
HUN,Hungary,Eastern Europe
IDN,Indonesia,South-eastern Asia
IND,India,Southern Asia
IRL,Ireland,Northern Europe
IRN,Iran (Islamic Republic of),Southern Asia
IRQ,Iraq,Western Asia
ISL,Iceland,Northern Europe
ISR,Israel,Western Asia
ITA,Italy,Southern Europe
JAM,Jamaica,Latin America and the Caribbean
JOR,Jordan,Western Asia
JPN,Japan,Eastern Asia
KAZ,Kazakhstan,Central Asia
KEN,Kenya,Sub-Saharan Africa
KGZ,Kyrgyzstan,Central Asia
KHM,Cambodia,South-eastern Asia
KIR,Kiribati,Micronesia
KNA,Saint Kitts and Nevis,Latin America and the Caribbean
KOR,Republic of Korea,Eastern Asia
KWT,Kuwait,Western Asia
LAO,Lao People's Democratic Republic,South-eastern Asia
LBN,Lebanon,Western Asia
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Northern Africa
LCA,Saint Lucia,Latin America and the Caribbean
LIE,Liechtenstein,Western Europe
LKA,Sri Lanka,Southern Asia
LSO,Lesotho,Sub-Saharan Africa
LTU,Lithuania,Northern Europe
LUX,Luxembourg,Western Europe
LVA,Latvia,Northern Europe
MAC,"China, Macao Special Administrative Region",Eastern Asia
MAF,Saint Martin (French Part),Latin America and the Caribbean
MAR,Morocco,Northern Africa
MDA,Republic of Moldova,Eastern Europe
MDG,Madagascar,Sub-Saharan Africa
MDV,Maldives,Southern Asia
MEX,Mexico,Latin America and the Caribbean
MHL,Marshall Islands,Micronesia
MKD,North Macedonia,Southern Europe
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Southern Europe
MMR,Myanmar,South-eastern Asia
MNE,Montenegro,Southern Europe
MNG,Mongolia,Eastern Asia
MNP,Northern Mariana Islands,Micronesia
MOZ,Mozambique,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MSR,Montserrat,Latin America and the Caribbean
MTQ,Martinique,Latin America and the Caribbean
MUS,Mauritius,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,South-eastern Asia
MYT,Mayotte,Sub-Saharan Africa
NAM,Namibia,Sub-Saharan Africa
NCL,New Caledonia,Melanesia
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
NIC,Nicaragua,Latin America and the Caribbean
NIU,Niue,Polynesia
NLD,Netherlands (Kingdom of the),Western Europe
NOR,Norway,Northern Europe
NPL,Nepal,Southern Asia
NZL,New Zealand,Australia and New Zealand
OMN,Oman,Western Asia
PAK,Pakistan,Southern Asia
PAN,Panama,Latin America and the Caribbean
PER,Peru,Latin America and the Caribbean
PHL,Philippines,South-eastern Asia
PLW,Palau,Micronesia
PNG,Papua New Guinea,Melanesia
POL,Poland,Eastern Europe
PRI,Puerto Rico,Latin America and the Caribbean
PRK,Democratic People's Republic of Korea,Eastern Asia
PRT,Portugal,Southern Europe
PRY,Paraguay,Latin America and the Caribbean
PSE,State of Palestine,Western Asia
PYF,French Polynesia,Polynesia
QAT,Qatar,Western Asia
REU,Réunion,Sub-Saharan Africa
ROU,Romania,Eastern Europe
RUS,Russian Federation,Eastern Europe
RWA,Rwanda,Sub-Saharan Africa
SAU,Saudi Arabia,Western Asia
SCG,Serbia Montenegro,Southern Europe
SDN,Sudan,Northern Africa
SEN,Senegal,Sub-Saharan Africa
SGP,Singapore,South-eastern Asia
SHN,Saint Helena,Sub-Saharan Africa
SLB,Solomon Islands,Melanesia
SLE,Sierra Leone,Sub-Saharan Africa
SLV,El Salvador,Latin America and the Caribbean
SOM,Somalia,Sub-Saharan Africa
SPI,Canary Islands,Northern Africa
SRB,Serbia,Southern Europe
SSD,South Sudan,Sub-Saharan Africa
STP,Sao Tome and Principe,Sub-Saharan Africa
SUR,Suriname,Latin America and the Caribbean
SVK,Slovakia,Eastern Europe
SVN,Slovenia,Southern Europe
SWE,Sweden,Northern Europe
SWZ,Eswatini,Sub-Saharan Africa
SXM,Sint Maarten (Dutch part),Latin America and the Caribbean
SYC,Seychelles,Sub-Saharan Africa
SYR,Syrian Arab Republic,Western Asia
TCA,Turks and Caicos Islands,Latin America and the Caribbean
TCD,Chad,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
THA,Thailand,South-eastern Asia
TJK,Tajikistan,Central Asia
TKL,Tokelau,Polynesia
TKM,Turkmenistan,Central Asia
TLS,Timor-Leste,South-eastern Asia
TON,Tonga,Polynesia
TTO,Trinidad and Tobago,Latin America and the Caribbean
TUN,Tunisia,Northern Africa
TUR,Türkiye,Western Asia
TUV,Tuvalu,Polynesia
TWN,Taiwan (Province of China),Eastern Asia
TZA,United Republic of Tanzania,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Eastern Europe
URY,Uruguay,Latin America and the Caribbean
USA,United States of America,Northern America
UZB,Uzbekistan,Central Asia
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean
VGB,British Virgin Islands,Latin America and the Caribbean
VIR,United States Virgin Islands,Latin America and the Caribbean
VNM,Viet Nam,South-eastern Asia
VUT,Vanuatu,Melanesia
WLF,Wallis and Futuna Islands,Polynesia
WSM,Samoa,Polynesia
YEM,Yemen,Western Asia
ZAF,South Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
