event_id,year,true_label,fold,predicted_label,probability_Low,probability_Moderate,probability_Severe,dataset,country_code,region,disaster_type,disaster_subtype,date_granularity,date_imputed,historical_frequency,hdi,Location,magnitude_scale,event_month,hdi_missing,month_missing,magnitude,magnitude_missing,magnitude_group,magnitude_group_unknown,magnitude_robust_z,max_probability,low_minus_severe,moderate_minus_severe
2014-0021-ARG,2014,Moderate,1,Moderate,0.22782997884610651,0.54749942920642658,0.22467059194746641,OOF,ARG,Latin America and the Caribbean,Mass movement (wet),Landslide (wet),day,0,72,0.85499999999999998,"El Rodeo town (Ambato district, Catamarca province)",,1,0,0,,1,UNKNOWN,1,,0.54749942920642658,0.003159386898640093,0.32282883725896017
2014-0024-IND,2014,Moderate,1,Moderate,0.082511839074647805,0.46339769034450951,0.45409047058084251,OOF,IND,Southern Asia,Miscellaneous accident (General),Miscellaneous accident (General),day,0,502,0.625,Near Bombay,,1,0,0,,1,UNKNOWN,1,,0.46339769034450951,-0.37157863150619469,0.0093072197636669962
2014-0026-ITA,2014,Low,1,Low,0.81949069575923772,0.1185138182772434,0.061995485963518698,OOF,ITA,Southern Europe,Flood,Flash flood,day,0,72,0.89000000000000001,"Bastiglia, Carpi, Medolla, Mirandoli cities (Modena district, Emilia-romagna province), Genova, La Spezia districts (Liguria province), Pisa, Volterra cities (Pisa district, Toscana province), Bologna district (Emilia-romagna province)",Km2,1,0,0,,1,Flood | Km2,0,,0.81949069575923772,0.75749520979571905,0.056518332313724703
2014-0027-FRA,2014,Low,1,Low,0.86004641191739917,0.10637980045963839,0.033573787622962502,OOF,FRA,Western Europe,Flood,Riverine flood,day,0,69,0.90000000000000002,"Hyeres, Lavandou city (Var district, Provence-Alpes-Cote-d'Azur province) ; Cote d'Azur region (Alpes Maritimes district, Provence-Alpes-Cote-d'Azur province)",Km2,1,0,0,,1,Flood | Km2,0,,0.86004641191739917,0.82647262429443669,0.072806012836675899
2014-0028-COD,2014,Moderate,1,Moderate,0.077700444144880199,0.48589845723368119,0.43640109862143889,OOF,COD,Sub-Saharan Africa,Mass movement (wet),Landslide (wet),day,0,178,0.46700000000000003,Bukavu district (Sud-Kivu province),,1,0,0,,1,UNKNOWN,1,,0.48589845723368119,-0.35870065447655869,0.049497358612242304
2014-0029-BLR,2014,Low,1,Low,0.43774496671696211,0.21836848844208301,0.34388654484095488,OOF,BLR,Eastern Europe,Extreme temperature,Severe winter conditions,day,0,6,0.82499999999999996,"Minsk, Grodno, Vitebsk, Mogilev provinces",°C,1,0,0,-35,0,Severe winter conditions | °C,0,-0.89552238805970152,0.43774496671696211,0.093858421876007236,-0.12551805639887187
2014-0030-POL,2014,Moderate,1,Severe,0.37252763511105602,0.25300032163763242,0.3744720432513115,OOF,POL,Eastern Europe,Extreme temperature,Cold wave,day,0,39,0.873,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",°C,1,0,0,-24,0,Cold wave | °C,0,-0.081632653061224483,0.3744720432513115,-0.0019444081402554825,-0.12147172161367908
2014-0030-ROU,2014,Moderate,1,Low,0.4125649736373232,0.32536252285059941,0.26207250351207728,OOF,ROU,Eastern Europe,Extreme temperature,Cold wave,day,0,62,0.81999999999999995,Bucarest province,°C,1,0,0,-18,0,Cold wave | °C,0,0.16326530612244897,0.4125649736373232,0.15049247012524591,0.06329001933852213
2014-0031-CAN,2014,Moderate,1,Moderate,0.2104944906551913,0.59312704300489505,0.19637846633991399,OOF,CAN,Northern America,Fire (Miscellaneous),Fire (Miscellaneous),day,0,57,0.93200000000000005,Isle-verte (Quebec),,1,0,0,,1,UNKNOWN,1,,0.59312704300489505,0.014116024315277309,0.39674857666498109
2014-0032-COD,2014,Moderate,1,Severe,0.072743189239529799,0.45125931993267687,0.47599749082779352,OOF,COD,Sub-Saharan Africa,Explosion (Miscellaneous),Explosion (Miscellaneous),day,0,179,0.46700000000000003,Mbuji-Mayi,,1,0,0,,1,UNKNOWN,1,,0.47599749082779352,-0.4032543015882637,-0.024738170895116651
2014-0033-IND,2014,Moderate,1,Moderate,0.053596257969982103,0.57108495417563576,0.37531878785438127,OOF,IND,Southern Asia,Water,Water,day,0,504,0.625,"Near Port Blair (Andaman, Nocobar Islands)",,1,0,0,,1,UNKNOWN,1,,0.57108495417563576,-0.3217225298843992,0.19576616632125449
2014-0034-IDN,2014,Moderate,1,Moderate,0.13362404525941701,0.6198409837826504,0.2465349709579332,OOF,IDN,South-eastern Asia,Mass movement (wet),Landslide (wet),day,0,322,0.69299999999999995,Jombang district (Jawa Timur province),,1,0,0,,1,UNKNOWN,1,,0.6198409837826504,-0.11291092569851618,0.3733060128247172
2014-0035-BOL,2014,Moderate,1,Moderate,0.16135149488560441,0.5859888424635058,0.25265966265088963,OOF,BOL,Latin America and the Caribbean,Mass movement (wet),Landslide (wet),day,0,63,0.70099999999999996,"Trinidad town (Cercado Province, Beni department), Rurrenabaque town (General Jose Ballivi province, Beni department); Cochabamba, La Paz, Chuquisaca, Oruro, Tarija, Santa Cruz, Potosi, Pando departments",,1,0,0,,1,UNKNOWN,1,,0.5859888424635058,-0.09130816776528522,0.33332917981261617
2014-0036-COL,2014,Moderate,1,Moderate,0.1492242476170802,0.57860319980209873,0.2721725525808209,OOF,COL,Latin America and the Caribbean,Fire (Miscellaneous),Fire (Miscellaneous),day,0,100,0.76300000000000001,Barranquilla,,1,0,0,,1,UNKNOWN,1,,0.57860319980209873,-0.12294830496374071,0.30643064722127783
2014-0037-TUR,2014,Moderate,1,Moderate,0.043227849316630297,0.95677215068336963,0,OOF,TUR,Western Asia,Road,Road,day,0,119,0.81299999999999994,Kayseri province,,1,0,0,,1,UNKNOWN,1,,0.95677215068336963,0.043227849316630297,0.95677215068336963
2014-0039-GBR,2014,Low,1,Low,0.89133841170070793,0.080646435371917499,0.028015152927374901,OOF,GBR,Northern Europe,Flood,Coastal flood,day,0,49,0.93200000000000005,"Muchelney village (Somerset levels area, Somersetshire district, England province) ; Devon East area (Devonshire district, England province) ; Kent district (Southern England, England province)",Km2,1,0,0,,1,Flood | Km2,0,,0.89133841170070793,0.86332325877333305,0.052631282444542599
2014-0041-BGD,2014,Moderate,1,Severe,0.029191670684720599,0.37104121012788871,0.59976711918739101,OOF,BGD,Southern Asia,Water,Water,day,0,183,0.59999999999999998,"Surma river, Chhatak",,2,0,0,,1,UNKNOWN,1,,0.59976711918739101,-0.57057544850267039,-0.2287259090595023
2014-0042-TZA,2014,Low,1,Low,0.52844713051790115,0.26692257234616878,0.2046302971359297,OOF,TZA,Sub-Saharan Africa,Flood,Flash flood,day,0,95,0.52100000000000002,"Kilosa, Mvomero, Gairo, Morogoro, Morogoro Urban districts (Morogoro province)",Km2,1,0,0,,1,Flood | Km2,0,,0.52844713051790115,0.32381683338197143,0.062292275210239084
2014-0043-UKR,2014,Moderate,1,Moderate,0.21180410081026191,0.54664449430219664,0.24155140488754129,OOF,UKR,Eastern Europe,Rail,Rail,day,0,56,0.78800000000000003,Soumy region,,2,0,0,,1,UNKNOWN,1,,0.54664449430219664,-0.02974730407727938,0.30509308941465535
2014-0044-IDN,2014,Moderate,1,Moderate,0.23520794491962521,0.5268751026507541,0.2379169524296206,OOF,IDN,South-eastern Asia,Volcanic activity,Ash fall,day,0,323,0.69299999999999995,Karo district (Sumatera Utara province),,2,0,0,,1,UNKNOWN,1,,0.5268751026507541,-0.0027090075099953925,0.28895815022113347
2014-0045-ITA,2014,Low,1,Low,0.8315714948626044,0.1220565916729256,0.046371913464469901,OOF,ITA,Southern Europe,Flood,Riverine flood,day,0,73,0.89000000000000001,"Ponsacco, San Miniato towns (Pisa district, Toscane province); Roma, Ostie, Fiumicino towns (Roma district, Lazio province), Noto town (Siracusa district, Sicila province), Catania, Messina districts (Sicilia province), Monasterace town (Reggio Calabria district, Calabria province), Frosinone district (Lazio province).",Km2,1,0,0,,1,Flood | Km2,0,,0.8315714948626044,0.78519958139813451,0.075684678208455702
2014-0046-SVN,2014,Low,1,Low,0.86687919948531422,0.097378467041643005,0.035742333473042801,OOF,SVN,Southern Europe,Extreme temperature,Severe winter conditions,day,0,8,0.90700000000000003,Notranjsko-kraska province,°C,1,0,0,,1,Severe winter conditions | °C,0,,0.86687919948531422,0.83113686601227144,0.061636133568600204
2014-0047-IND,2014,Moderate,1,Severe,0.093164578154763894,0.18942662801524041,0.71740879382999556,OOF,IND,Southern Asia,Extreme temperature,Cold wave,day,0,503,0.625,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",°C,1,0,0,-9,0,Cold wave | °C,0,0.53061224489795922,0.71740879382999556,-0.6242442156752317,-0.52798216581475521
2014-0048-USA,2014,Low,1,Low,0.76493884233575127,0.20423781066130289,0.030823347002945999,OOF,USA,Northern America,Storm,Blizzard/Winter storm,day,0,403,0.92600000000000005,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Colorado, Montana, New Mexico, Oklahoma, Texas, Wyoming, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.76493884233575127,0.73411549533280529,0.17341446365835689
2014-0052-USA,2014,Moderate,1,Low,0.72470741917810177,0.23361371968935399,0.0416788611325438,OOF,USA,Northern America,Storm,Blizzard/Winter storm,day,0,398,0.92600000000000005,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, Massachusetts, New Hampshire, Vermont, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Maryland provinces",Kph,1,0,0,,1,Storm | Kph,0,,0.72470741917810177,0.68302855804555795,0.1919348585568102
2014-0053-USA,2014,Moderate,1,Low,0.72470741917810177,0.23361371968935399,0.0416788611325438,OOF,USA,Northern America,Storm,Blizzard/Winter storm,day,0,401,0.92600000000000005,"Georgia, Alabama, Mississippi, Louisiana, North Carolina, South Carolina provinces",Kph,1,0,0,,1,Storm | Kph,0,,0.72470741917810177,0.68302855804555795,0.1919348585568102
2014-0054-IRN,2014,Low,1,Low,0.6231088746009501,0.22025515371569379,0.15663597168335561,OOF,IRN,Southern Asia,Earthquake,Ground movement,day,0,179,0.79500000000000004,"Bastak city (Bandar-elengeh district, Hormozgan province)",Moment Magnitude,1,0,0,5.2000000000000002,0,Earthquake | Moment Magnitude,0,-0.92307692307692335,0.6231088746009501,0.46647290291759447,0.063619182032338184
2014-0055-PHL,2014,Low,1,Low,0.68735799765434458,0.2086070745013559,0.1040349278442996,OOF,PHL,South-eastern Asia,Storm,Tropical cyclone,day,0,293,0.68899999999999995,"Antique, Negros Occidental districts (Region VI (Western Visayas) province), Cebu (Region VII (Central Visayas) province), Biliran, Leyte, Southern Leyte districts (Region VIII (Eastern Visayas) province), Agusan del Norte, Dinagat, Surigao del Norte districts (Region XIII (Caraga) province)",Kph,1,0,0,,1,Storm | Kph,0,,0.68735799765434458,0.583323069810045,0.1045721466570563
2014-0056-IDN,2014,Moderate,1,Low,0.480302699318718,0.3085776083520605,0.2111196923292212,OOF,IDN,South-eastern Asia,Flood,Riverine flood,day,0,318,0.69299999999999995,"Tangerang district (Banten province), Dki Jakarta province",Km2,1,0,0,35769.220000000001,0,Flood | Km2,0,0.14898326444881091,0.480302699318718,0.26918300698949682,0.097457916022839292
2014-0057-IDN,2014,Moderate,1,Low,0.60218700171300732,0.27115263373235032,0.1266603645546413,OOF,IDN,South-eastern Asia,Flood,Riverine flood,day,0,320,0.69299999999999995,"Jawa Tengah, Jawa Timur provinces",Km2,1,0,0,,1,Flood | Km2,0,,0.60218700171300732,0.47552663715836602,0.14449226917770902
2014-0059-ARG,2014,Moderate,1,Moderate,0.0036839653581789002,0.99631603464182095,0,OOF,ARG,Latin America and the Caribbean,Road,Road,day,0,73,0.85499999999999998,Mendoza province,,2,0,0,,1,UNKNOWN,1,,0.99631603464182095,0.0036839653581789002,0.99631603464182095
2014-0060-SAU,2014,Moderate,1,Moderate,0.1628278785365081,0.58605405236708441,0.2511180690964076,OOF,SAU,Western Asia,Fire (Miscellaneous),Fire (Miscellaneous),day,0,39,0.84099999999999997,Medine,,2,0,0,,1,UNKNOWN,1,,0.58605405236708441,-0.088290190559899506,0.33493598327067681
2014-0061-JPN,2014,Moderate,1,Low,0.6929630862680255,0.2029895320257466,0.10404738170622781,OOF,JPN,Eastern Asia,Storm,Blizzard/Winter storm,day,0,110,0.91400000000000003,"Aiti, Akita, Aomori, Gifu, Gunma, Hirosima, Hukui, Hukusima, Hyoogo, Ibaraki, Iwate, Kanagawa, Kyooto, Mie, Miyagi, Nagano, Nara, Niigata, Okayama, Okinawa, Oosaka, Saitama, Siga, Simane, Sizuoka, Tiba, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.6929630862680255,0.58891570456179765,0.098942150319518793
2014-0063-BDI,2014,Moderate,1,Low,0.58409880704285688,0.1998622149255645,0.2160389780315784,OOF,BDI,Sub-Saharan Africa,Flood,Flash flood,day,0,48,0.43099999999999999,"Kinyinya, Kijaga villages (Mutumbuzi district, Bujumbura Rural province), Kamenge, Kinama, Buterere, Ngagara, Kanyosha districts (Bujumbura Mairie province)",Km2,2,0,0,3237.4200000000001,0,Flood | Km2,0,-0.29185690087404298,0.58409880704285688,0.36805982901127848,-0.016176763106013903
2014-0064-IDN,2014,Low,1,Moderate,0.23520794491962521,0.5268751026507541,0.2379169524296206,OOF,IDN,South-eastern Asia,Volcanic activity,Ash fall,day,0,324,0.69299999999999995,"Bantul, Kota Yogyakarta, Kulonprogo, Sleman districts (Daerah Istimewa Yogyakarta province), Boyolali, Kebumen, Kota Magelang, Kota Surakarta, Magelang, Purworejo, Temanggung, Wonogiri districts (Jawa Tengah province), Blitar, Kediri, Kota Blitar, Kota Kediri, Kota Malang, Kota Surabaya, Malang, Pacitan, Ponorogo districts (Jawa Timur province), Kota Mataram district (Nusatenggara Barat province)",,2,0,0,,1,UNKNOWN,1,,0.5268751026507541,-0.0027090075099953925,0.28895815022113347
2014-0065-TLS,2014,Low,1,Low,0.42502357006468522,0.26465376306077332,0.31032266687454202,OOF,TLS,South-eastern Asia,Epidemic,Viral disease,month,1,7,0.63700000000000001,Dili district,Vaccinated,1,0,0,,1,UNKNOWN,1,,0.42502357006468522,0.1147009031901432,-0.045668903813768702
2014-0066-ZWE,2014,Low,1,Low,0.56845360858772598,0.2122526945740732,0.21929369683820091,OOF,ZWE,Sub-Saharan Africa,Flood,Flash flood,day,0,57,0.56000000000000005,"Domboshawa area (Shamva district, Mashonaland Central province), Chiredzi, Gutu, Chivi, Masvingo, Mwenezi districts (Masvingo province), Tsholotsho, Binga districts (Matabeleland North province), Gokwe South district (Midlands province), Makonde district (Mashonaland West province), Bulawayo district (Bulawayo province), Harare district (Harare province), Mangwe, Gwanda districts (Matabeleland South province)",Km2,1,0,0,,1,Flood | Km2,0,,0.56845360858772598,0.3491599117495251,-0.0070410022641277104
2014-0067-GBR,2014,Low,1,Low,0.88517812602227286,0.082935337350583296,0.031886536627143802,OOF,GBR,Northern Europe,Storm,Extra-tropical storm,day,0,50,0.93200000000000005,"Inner London - West, Gloucestershire, Wiltshire and Bristol/Bath area, West Wales and The Valleys",Kph,2,0,0,130,0,Storm | Kph,0,-0.25,0.88517812602227286,0.85329158939512906,0.051048800723439494
2014-0067-IRL,2014,Low,1,Low,0.92588323574034836,0.062828961341497902,0.0112878029181537,OOF,IRL,Northern Europe,Storm,Extra-tropical storm,day,0,8,0.92100000000000004,"Dublin, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow, Carlow, Cavan, Clare, Cork, Donegal, Galway, Kerry, Kilkenny, Leitrim, Limerick, Louth, Mayo, Monaghan, Munster, Roscommon, Sligo, Tipperary, Waterford, Wexford provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.92588323574034836,0.91459543282219469,0.051541158423344204
2014-0067-PRT,2014,Low,1,Low,0.90715805259535021,0.078062785015556302,0.0147791623890931,OOF,PRT,Southern Europe,Storm,Extra-tropical storm,day,0,27,0.85399999999999998,Ilha Da Madeira province,Kph,2,0,0,,1,Storm | Kph,0,,0.90715805259535021,0.89237889020625716,0.063283622626463198
2014-0068-JPN,2014,Moderate,1,Low,0.6929630862680255,0.2029895320257466,0.10404738170622781,OOF,JPN,Eastern Asia,Storm,Blizzard/Winter storm,day,0,111,0.91400000000000003,"Ibaraki, Kanagawa, Nagano, Niigata, Saitama, Tiba, Tookyoo, Totigi, Yamanasi, Akita, Aomori, Hukusima, Iwate, Miyagi, Yamagata provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.6929630862680255,0.58891570456179765,0.098942150319518793
2014-0069-RUS,2014,Moderate,1,Moderate,0.0070592173288731002,0.99294078267112684,0,OOF,RUS,Eastern Europe,Road,Road,day,0,216,0.83099999999999996,Leningrad region,,2,0,0,,1,UNKNOWN,1,,0.99294078267112684,0.0070592173288731002,0.99294078267112684
2014-0070-NPL,2014,Moderate,1,Moderate,0.048672944169856701,0.55415590928041403,0.39717114654972918,OOF,NPL,Southern Asia,Air,Air,day,0,88,0.57399999999999995,Near Pokhara,,2,0,0,,1,UNKNOWN,1,,0.55415590928041403,-0.3484982023798725,0.15698476273068485
2014-0072-USA,2014,Moderate,1,Low,0.76493884233575127,0.20423781066130289,0.030823347002945999,OOF,USA,Northern America,Storm,Blizzard/Winter storm,day,0,404,0.92600000000000005,"District of Columbia, New York, Georgia, South Carolina, North Carolina, Pennsylvania provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.76493884233575127,0.73411549533280529,0.17341446365835689
2014-0073-DZA,2014,Moderate,1,Moderate,0.051183170441908697,0.64069711525189632,0.3081197143061945,OOF,DZA,Northern Africa,Air,Air,day,0,64,0.73199999999999998,Oum El Bouaghi; Ain Kercha,,2,0,0,,1,UNKNOWN,1,,0.64069711525189632,-0.25693654386428583,0.33257740094570182
2014-0074-QAT,2014,Moderate,1,Moderate,0.18968292092003941,0.61260790743584403,0.197709171644117,OOF,QAT,Western Asia,Explosion (Industrial),Explosion (Industrial),day,0,2,0.85699999999999998,Doha,m3,2,0,0,,1,UNKNOWN,1,,0.61260790743584403,-0.0080262507240775882,0.41489873579172704
2014-0075-THA,2014,Moderate,1,Moderate,0.1462056736669575,0.60443660792098164,0.24935771841206111,OOF,THA,South-eastern Asia,Collapse (Industrial),Collapse (Industrial),day,0,102,0.78400000000000003,Bangkok,m3,2,0,0,,1,UNKNOWN,1,,0.60443660792098164,-0.10315204474510362,0.35507888950892053
2014-0076-TUN,2014,Moderate,1,Moderate,0.049565006725163799,0.64381057401217967,0.30662441926265582,OOF,TUN,Northern Africa,Air,Air,day,0,18,0.72499999999999998,Grombalia region,,2,0,0,,1,UNKNOWN,1,,0.64381057401217967,-0.25705941253749204,0.33718615474952385
2014-0077-KOR,2014,Moderate,1,Low,0.77589387194324444,0.1412684266635417,0.0828377013932136,OOF,KOR,Eastern Asia,Storm,Blizzard/Winter storm,day,0,57,0.91000000000000003,Gyeongju-si area (Kyongsangbuk-do province),Kph,2,0,0,,1,Storm | Kph,0,,0.77589387194324444,0.69305617055003088,0.058430725270328096
2014-0078-TGO,2014,Moderate,1,Moderate,0,1,0,OOF,TGO,Sub-Saharan Africa,Road,Road,day,0,18,0.51400000000000001,Tamdé,,2,0,0,,1,UNKNOWN,1,,1,0,1
2014-0079-THA,2014,Moderate,1,Moderate,0,1,0,OOF,THA,South-eastern Asia,Road,Road,day,0,103,0.78400000000000003,Prachinburi province,,2,0,0,,1,UNKNOWN,1,,1,0,1
2014-0081-IDN,2014,Moderate,1,Low,0.5977186486872712,0.2743277678929481,0.12795358341977939,OOF,IDN,South-eastern Asia,Flood,Riverine flood,day,0,325,0.69299999999999995,"Abepura area (Kota Jayapura district, Papua province)",Km2,2,0,0,,1,Flood | Km2,0,,0.5977186486872712,0.46976506526749184,0.14637418447316872
2014-0084-AFG,2014,Moderate,1,Moderate,0.25393974293448113,0.57799453064562956,0.1680657264198894,OOF,AFG,Southern Asia,Storm,Blizzard/Winter storm,day,0,139,0.497,"Jawzjan, Faryab, Kunduz, Kabul provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.57799453064562956,0.085874016514591728,0.40992880422574018
2014-0085-CHN,2014,Moderate,1,Low,0.56384103233817395,0.3085728300958302,0.12758613756599549,OOF,CHN,Eastern Asia,Storm,Blizzard/Winter storm,day,0,993,0.74199999999999999,"Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng provinces",Kph,2,0,0,,1,Storm | Kph,0,,0.56384103233817395,0.43625489477217849,0.18098669252983471
2014-0087-YEM,2014,Moderate,1,Moderate,0.050765640972806697,0.65568319338632841,0.29355116564086442,OOF,YEM,Western Asia,Water,Water,day,0,54,0.502,Near Beer Ali coast (Shabwa province),,3,0,0,,1,UNKNOWN,1,,0.65568319338632841,-0.24278552466805772,0.36213202774546399
2014-0088-MYS,2014,Severe,1,Moderate,0.053832721019724902,0.70887221559639391,0.23729506338388109,OOF,MYS,South-eastern Asia,Air,Air,day,0,43,0.79500000000000004,,,3,0,0,,1,UNKNOWN,1,,0.70887221559639391,-0.18346234236415621,0.47157715221251284
